Item,FoodGroup,Year,Measurement,NoCountries
Fermented beverages,Alcoholic beverages,1963,Fat,1
Fruits (other),Fruits,1963,Fat,130
Grapefruit,Fruits,1963,Fat,1
Grapes & wine,Alcoholic beverages,1963,Fat,20
Groundnut,Oils,1963,Fat,123
Lemons & limes,Fruits,1963,Fat,10
Maize,Cereals,1963,Fat,110
Millets,Cereals,1963,Fat,43
Miscellaneous,Miscellaneous,1963,Fat,7
Oats,Cereals,1963,Fat,37
Oilcrops (other),Oils,1963,Fat,99
Olives,Oils,1963,Fat,67
Onions,Vegetables,1963,Fat,13
Oranges & mandarines,Fruits,1963,Fat,19
Palm oil,Oils,1963,Fat,60
Peas,Pulses,1963,Fat,24
Pepper,Vegetables,1963,Fat,0
Pimento,Spices & stimulants,1963,Fat,44
Pineapples,Fruits,1963,Fat,3
Potatoes,Starchy roots,1963,Fat,52
Pulses (other),Pulses,1963,Fat,94
Rape & mustard,Spices & stimulants,1963,Fat,39
Rice,Cereals,1963,Fat,110
Roots (other),Starchy roots,1963,Fat,29
Rye,Cereals,1963,Fat,18
Sesame ,Oils,1963,Fat,58
Sorghum,Cereals,1963,Fat,45
Soybean,Oils,1963,Fat,87
Spices (other),Spices & stimulants,1963,Fat,44
Sugar,Sweeteners,1963,Fat,11
Sunflower,Oils,1963,Fat,44
Sweet potatoes,Starchy roots,1963,Fat,36
Sweeteners (other),Sweeteners,1963,Fat,1
Tea,Spices & stimulants,1963,Fat,0
Tomatoes,Vegetables,1963,Fat,43
Treenuts,Oils,1963,Fat,92
Vegetables (other),Vegetables,1963,Fat,132
Wheat,Cereals,1963,Fat,142
Yams,Starchy roots,1963,Fat,21
Alcoholic beverages,Alcoholic beverages,1963,Protein,0
Animal Products (Total),Animal Products,1963,Protein,152
Apples,Fruits,1963,Protein,34
Bananas & plantains,Fruits,1963,Protein,108
Barley & beer,Alcoholic beverages,1963,Protein,104
Beans,Pulses,1963,Protein,96
Cassava,Starchy roots,1963,Protein,68
Cereals (other),Cereals ,1963,Protein,53
Citrus (other),Fruits,1963,Protein,8
Cloves,Spices & stimulants,1963,Protein,0
Cocoa beans,Spices & stimulants,1963,Protein,61
Coconuts,Oils,1963,Protein,60
Coffee,Spices & stimulants,1963,Protein,84
Cottonseed oil,Oils,1963,Protein,0
Dates,Fruits,1963,Protein,18
Fermented beverages,Alcoholic beverages,1963,Protein,28
Fruits (other),Fruits,1963,Protein,135
Grapefruit,Fruits,1963,Protein,7
Grapes & wine,Alcoholic beverages,1963,Protein,43
Groundnut,Oils,1963,Protein,105
Lemons & limes,Fruits,1963,Protein,11
Maize,Cereals,1963,Protein,120
Millets,Cereals,1963,Protein,48
Miscellaneous,Miscellaneous,1963,Protein,30
Oats,Cereals,1963,Protein,46
Oilcrops (other),Oils,1963,Protein,21
Olives,Oils,1963,Protein,7
Onions,Vegetables,1963,Protein,94
Oranges & mandarines,Fruits,1963,Protein,72
Palm oil,Oils,1963,Protein,3
Peas,Pulses,1963,Protein,63
Pepper,Vegetables,1963,Protein,2
Pimento,Spices & stimulants,1963,Protein,43
Pineapples,Fruits,1963,Protein,8
Potatoes,Starchy roots,1963,Protein,123
Pulses (other),Pulses,1963,Protein,127
Rape & mustard,Spices & stimulants,1963,Protein,13
Rice,Cereals,1963,Protein,146
Roots (other),Starchy roots,1963,Protein,57
Rye,Cereals,1963,Protein,33
Sesame ,Oils,1963,Protein,30
Sorghum,Cereals,1963,Protein,47
Soybean,Oils,1963,Protein,26
Spices (other),Spices & stimulants,1963,Protein,34
Sugar,Sweeteners,1963,Protein,22
Sunflower,Oils,1963,Protein,3
Sweet potatoes,Starchy roots,1963,Protein,68
Sweeteners (other),Sweeteners,1963,Protein,1
Tea,Spices & stimulants,1963,Protein,59
Tomatoes,Vegetables,1963,Protein,78
Treenuts,Oils,1963,Protein,64
Vegetables (other),Vegetables,1963,Protein,151
Wheat,Cereals,1963,Protein,151
Yams,Starchy roots,1963,Protein,36
Alcoholic beverages,Alcoholic beverages,1963,Food Weight,126
Animal Products (Total),Animal Products,1963,Food Weight,152
Apples,Fruits,1963,Food Weight,98
Bananas & plantains,Fruits,1963,Food Weight,134
Barley & beer,Alcoholic beverages,1963,Food Weight,144
Beans,Pulses,1963,Food Weight,96
Cassava,Starchy roots,1963,Food Weight,84
Cereals (other),Cereals ,1963,Food Weight,76
Citrus (other),Fruits,1963,Food Weight,30
Cloves,Spices & stimulants,1963,Food Weight,2
Cocoa beans,Spices & stimulants,1963,Food Weight,86
Coconuts,Oils,1963,Food Weight,106
Coffee,Spices & stimulants,1963,Food Weight,113
Cottonseed oil,Oils,1963,Food Weight,72
Dates,Fruits,1963,Food Weight,52
Fermented beverages,Alcoholic beverages,1963,Food Weight,57
Fruits (other),Fruits,1963,Food Weight,150
Grapefruit,Fruits,1963,Food Weight,68
Grapes & wine,Alcoholic beverages,1963,Food Weight,128
Groundnut,Oils,1963,Food Weight,121
Lemons & limes,Fruits,1963,Food Weight,81
Maize,Cereals,1963,Food Weight,124
Millets,Cereals,1963,Food Weight,48
Miscellaneous,Miscellaneous,1963,Food Weight,0
Oats,Cereals,1963,Food Weight,59
Oilcrops (other),Oils,1963,Food Weight,89
Olives,Oils,1963,Food Weight,53
Onions,Vegetables,1963,Food Weight,121
Oranges & mandarines,Fruits,1963,Food Weight,119
Palm oil,Oils,1963,Food Weight,52
Peas,Pulses,1963,Food Weight,65
Pepper,Vegetables,1963,Food Weight,42
Pimento,Spices & stimulants,1963,Food Weight,55
Pineapples,Fruits,1963,Food Weight,74
Potatoes,Starchy roots,1963,Food Weight,141
Pulses (other),Pulses,1963,Food Weight,129
Rape & mustard,Spices & stimulants,1963,Food Weight,38
Rice,Cereals,1963,Food Weight,148
Roots (other),Starchy roots,1963,Food Weight,79
